disease,pageid,url
Klinefelter syndrome,19833554,https://en.wikipedia.org/wiki/Klinefelter_syndrome
Aarskog–Scott syndrome,7966521,https://en.wikipedia.org/wiki/Aarskog–Scott_syndrome
Abetalipoproteinemia,68451,https://en.wikipedia.org/wiki/Abetalipoproteinemia
MT-TP,20945466,https://en.wikipedia.org/wiki/MT-TP
Ablepharon macrostomia syndrome,10776100,https://en.wikipedia.org/wiki/Ablepharon_macrostomia_syndrome
Acanthocheilonemiasis,3474864,https://en.wikipedia.org/wiki/Acanthocheilonemiasis
Acanthosis nigricans,729741,https://en.wikipedia.org/wiki/Acanthosis_nigricans
Aceruloplasminemia,3363020,https://en.wikipedia.org/wiki/Aceruloplasminemia
Megaesophagus,1304433,https://en.wikipedia.org/wiki/Megaesophagus
Achard–Thiers syndrome,1546688,https://en.wikipedia.org/wiki/Achard–Thiers_syndrome
Achondrogenesis,1850098,https://en.wikipedia.org/wiki/Achondrogenesis
Achondroplasia,56579,https://en.wikipedia.org/wiki/Achondroplasia
Dwarfism,138301,https://en.wikipedia.org/wiki/Dwarfism
Osteochondrodysplasia,5884761,https://en.wikipedia.org/wiki/Osteochondrodysplasia
Fibroblast growth factor receptor 3,11598742,https://en.wikipedia.org/wiki/Fibroblast_growth_factor_receptor_3
Vestibular schwannoma,1002770,https://en.wikipedia.org/wiki/Vestibular_schwannoma
Brain tumor,37284,https://en.wikipedia.org/wiki/Brain_tumor
Acquired generalized lipodystrophy,21894306,https://en.wikipedia.org/wiki/Acquired_generalized_lipodystrophy
Barraquer–Simons syndrome,13494770,https://en.wikipedia.org/wiki/Barraquer–Simons_syndrome
Acrodermatitis enteropathica,4365373,https://en.wikipedia.org/wiki/Acrodermatitis_enteropathica
Zinc deficiency,13926095,https://en.wikipedia.org/wiki/Zinc_deficiency
Brown-Séquard syndrome,11024497,https://en.wikipedia.org/wiki/Brown-Séquard_syndrome
Spinal cord injury,1053949,https://en.wikipedia.org/wiki/Spinal_cord_injury
Brucellosis,425881,https://en.wikipedia.org/wiki/Brucellosis
Yellowstone Park bison herd,31431431,https://en.wikipedia.org/wiki/Yellowstone_Park_bison_herd
Māui dolphin,16787456,https://en.wikipedia.org/wiki/Māui_dolphin
Brugada syndrome,155623,https://en.wikipedia.org/wiki/Brugada_syndrome
Nav1.8,18418966,https://en.wikipedia.org/wiki/Nav1.8
Sports cardiology,64423532,https://en.wikipedia.org/wiki/Sports_cardiology
Budd–Chiari syndrome,584854,https://en.wikipedia.org/wiki/Budd–Chiari_syndrome
Thrombosis,183048,https://en.wikipedia.org/wiki/Thrombosis
Hepatic veno-occlusive disease,14902185,https://en.wikipedia.org/wiki/Hepatic_veno-occlusive_disease
Thromboangiitis obliterans,1081829,https://en.wikipedia.org/wiki/Thromboangiitis_obliterans
Bullous pemphigoid,2730682,https://en.wikipedia.org/wiki/Bullous_pemphigoid
Pemphigoid,6014717,https://en.wikipedia.org/wiki/Pemphigoid
Trigonocephaly,232064,https://en.wikipedia.org/wiki/Trigonocephaly
CADASIL,1368247,https://en.wikipedia.org/wiki/CADASIL
Campomelic dysplasia,7959503,https://en.wikipedia.org/wiki/Campomelic_dysplasia
Camurati–Engelmann disease,16019019,https://en.wikipedia.org/wiki/Camurati–Engelmann_disease
Canavan disease,56461,https://en.wikipedia.org/wiki/Canavan_disease
Spongy degeneration of the central nervous system,67252443,https://en.wikipedia.org/wiki/Spongy_degeneration_of_the_central_nervous_system
Candidiasis,7038,https://en.wikipedia.org/wiki/Candidiasis
Breastfeeding difficulties,12968191,https://en.wikipedia.org/wiki/Breastfeeding_difficulties
Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy,46427376,https://en.wikipedia.org/wiki/Cerebral_autosomal_recessive_arteriopathy_with_subcortical_infarcts_and_leukoencephalopathy
Carcinoid syndrome,2557974,https://en.wikipedia.org/wiki/Carcinoid_syndrome
Enterochromaffin cell,2005601,https://en.wikipedia.org/wiki/Enterochromaffin_cell
Cardiofaciocutaneous syndrome,555432,https://en.wikipedia.org/wiki/Cardiofaciocutaneous_syndrome
RASopathy,33677913,https://en.wikipedia.org/wiki/RASopathy
Carney complex,3950657,https://en.wikipedia.org/wiki/Carney_complex
Pituitary adenoma,992796,https://en.wikipedia.org/wiki/Pituitary_adenoma
Carnosinemia,17033405,https://en.wikipedia.org/wiki/Carnosinemia
Caroli disease,308573,https://en.wikipedia.org/wiki/Caroli_disease
Carpenter syndrome,2853212,https://en.wikipedia.org/wiki/Carpenter_syndrome
Castleman disease,496984,https://en.wikipedia.org/wiki/Castleman_disease
Cat eye syndrome,11379189,https://en.wikipedia.org/wiki/Cat_eye_syndrome
Chromosome 22,3398757,https://en.wikipedia.org/wiki/Chromosome_22
Small supernumerary marker chromosome,2018913,https://en.wikipedia.org/wiki/Small_supernumerary_marker_chromosome
Catamenial pneumothorax,5619407,https://en.wikipedia.org/wiki/Catamenial_pneumothorax
Tumor-like disorders of the lung pleura,37249252,https://en.wikipedia.org/wiki/Tumor-like_disorders_of_the_lung_pleura
Catel–Manzke syndrome,6013274,https://en.wikipedia.org/wiki/Catel–Manzke_syndrome
Caudal regression syndrome,3917794,https://en.wikipedia.org/wiki/Caudal_regression_syndrome
Cavernous hemangioma,36135963,https://en.wikipedia.org/wiki/Cavernous_hemangioma
CDKL5 deficiency disorder,68009770,https://en.wikipedia.org/wiki/CDKL5_deficiency_disorder
Central core disease,16613836,https://en.wikipedia.org/wiki/Central_core_disease
Central diabetes insipidus,22109544,https://en.wikipedia.org/wiki/Central_diabetes_insipidus
Hypothalamic disease,22278698,https://en.wikipedia.org/wiki/Hypothalamic_disease
Central pain syndrome,20193895,https://en.wikipedia.org/wiki/Central_pain_syndrome
Zona incerta,3610376,https://en.wikipedia.org/wiki/Zona_incerta
Centronuclear myopathy,4960443,https://en.wikipedia.org/wiki/Centronuclear_myopathy
Cerebellar agenesis,43807527,https://en.wikipedia.org/wiki/Cerebellar_agenesis
Cerebral folate deficiency,52484729,https://en.wikipedia.org/wiki/Cerebral_folate_deficiency
Kearns–Sayre syndrome,3021700,https://en.wikipedia.org/wiki/Kearns–Sayre_syndrome
Cerebral palsy,50605,https://en.wikipedia.org/wiki/Cerebral_palsy
Palsy,2027666,https://en.wikipedia.org/wiki/Palsy
Toe walking,11659289,https://en.wikipedia.org/wiki/Toe_walking
Multiple birth,79449,https://en.wikipedia.org/wiki/Multiple_birth
T37 (classification),33792683,https://en.wikipedia.org/wiki/T37_(classification)
T36 (classification),33792681,https://en.wikipedia.org/wiki/T36_(classification)
T38 (classification),33792602,https://en.wikipedia.org/wiki/T38_(classification)
Adaptive Physical Education Australia,47676846,https://en.wikipedia.org/wiki/Adaptive_Physical_Education_Australia
Horseback riding simulators,44065328,https://en.wikipedia.org/wiki/Horseback_riding_simulators
T34 (classification),33792679,https://en.wikipedia.org/wiki/T34_(classification)
Augmentative and alternative communication,2106968,https://en.wikipedia.org/wiki/Augmentative_and_alternative_communication
Green ribbon,1067965,https://en.wikipedia.org/wiki/Green_ribbon
Functional electrical stimulation,842532,https://en.wikipedia.org/wiki/Functional_electrical_stimulation
S10 (classification),33787369,https://en.wikipedia.org/wiki/S10_(classification)
T35 (classification),33792680,https://en.wikipedia.org/wiki/T35_(classification)
ERCC1,14149018,https://en.wikipedia.org/wiki/ERCC1
Spasmodic torticollis,3186646,https://en.wikipedia.org/wiki/Spasmodic_torticollis
Botulinum toxin,40172,https://en.wikipedia.org/wiki/Botulinum_toxin
Torticollis,286191,https://en.wikipedia.org/wiki/Torticollis
Neutral lipid storage disease,20673108,https://en.wikipedia.org/wiki/Neutral_lipid_storage_disease
Iridocorneal endothelial syndrome,5515277,https://en.wikipedia.org/wiki/Iridocorneal_endothelial_syndrome
Charcot–Marie–Tooth disease,7845,https://en.wikipedia.org/wiki/Charcot–Marie–Tooth_disease
Rheobase,5231858,https://en.wikipedia.org/wiki/Rheobase
Hereditary motor and sensory neuropathy,17595947,https://en.wikipedia.org/wiki/Hereditary_motor_and_sensory_neuropathy
CHARGE syndrome,2591531,https://en.wikipedia.org/wiki/CHARGE_syndrome
